ordrs.ordr;ordrs.ordr_type;ordrs.prdct;ordrs.prdct_dscr;ordrs.prdct_targ_qty;ordrs.prdct_targ_qty_unt;rqrmts.cmpnt;rqrmts.cmpnt_dscr;rqrmts.cmpnt_rqrd
100178354;PI01;1902610;Product 1902610;59000.00;KOM;70021174;Component 70021174;22.24
100178354;PI01;1902610;Product 1902610;59000.00;KOM;700540;Component 700540;5.01
100178354;PI01;1902610;Product 1902610;59000.00;KOM;700541;Component 700541;0.05
100178354;PI01;1902610;Product 1902610;59000.00;KOM;721109;Component 721109;60.18
100178354;PI01;1902610;Product 1902610;59000.00;KOM;742516;Component 742516;60.18
100178354;PI01;1902610;Product 1902610;59000.00;KOM;744964;Component 744964;48.14
100178354;PI01;1902610;Product 1902610;59000.00;KOM;745341;Component 745341;33.09
100178354;PI01;1902610;Product 1902610;59000.00;KOM;745395;Component 745395;12.03
100178354;PI01;1902610;Product 1902610;59000.00;KOM;795638;Component 795638;90.27
100178354;PI01;1902610;Product 1902610;59000.00;KOM;855788;Component 855788;5957.82
6215233;LA;1902610;Product 1902610;35400.00;KOM;70021174;Component 70021174;13.34
6215233;LA;1902610;Product 1902610;35400.00;KOM;700540;Component 700540;3.00
6215233;LA;1902610;Product 1902610;35400.00;KOM;700541;Component 700541;0.03
6215233;LA;1902610;Product 1902610;35400.00;KOM;721109;Component 721109;36.10
6215233;LA;1902610;Product 1902610;35400.00;KOM;742516;Component 742516;36.10
6215233;LA;1902610;Product 1902610;35400.00;KOM;744964;Component 744964;28.88
6215233;LA;1902610;Product 1902610;35400.00;KOM;745341;Component 745341;19.85
6215233;LA;1902610;Product 1902610;35400.00;KOM;745395;Component 745395;7.22
6215233;LA;1902610;Product 1902610;35400.00;KOM;795638;Component 795638;54.16
6215233;LA;1902610;Product 1902610;35400.00;KOM;855788;Component 855788;3574.69
100178509;PI01;1902610;Product 1902610;55256.00;KOM;70021174;Component 70021174;20.83
100178509;PI01;1902610;Product 1902610;55256.00;KOM;700540;Component 700540;4.69
100178509;PI01;1902610;Product 1902610;55256.00;KOM;700541;Component 700541;0.05
100178509;PI01;1902610;Product 1902610;55256.00;KOM;721109;Component 721109;56.36
100178509;PI01;1902610;Product 1902610;55256.00;KOM;742516;Component 742516;56.36
100178509;PI01;1902610;Product 1902610;55256.00;KOM;744964;Component 744964;45.08
100178509;PI01;1902610;Product 1902610;55256.00;KOM;745341;Component 745341;30.99
100178509;PI01;1902610;Product 1902610;55256.00;KOM;745395;Component 745395;11.27
100178509;PI01;1902610;Product 1902610;55256.00;KOM;795638;Component 795638;84.54
100178509;PI01;1902610;Product 1902610;55256.00;KOM;855788;Component 855788;5579.75
6246253;LA;1902610;Product 1902610;47300.00;KOM;70021174;Component 70021174;17.83
6246253;LA;1902610;Product 1902610;47300.00;KOM;700540;Component 700540;4.02
6246253;LA;1902610;Product 1902610;47300.00;KOM;700541;Component 700541;0.04
6246253;LA;1902610;Product 1902610;47300.00;KOM;721109;Component 721109;48.24
6246253;LA;1902610;Product 1902610;47300.00;KOM;742516;Component 742516;48.24
6246253;LA;1902610;Product 1902610;47300.00;KOM;744964;Component 744964;38.59
6246253;LA;1902610;Product 1902610;47300.00;KOM;745341;Component 745341;26.53
6246253;LA;1902610;Product 1902610;47300.00;KOM;745395;Component 745395;9.64
6246253;LA;1902610;Product 1902610;47300.00;KOM;795638;Component 795638;72.36
6246253;LA;1902610;Product 1902610;47300.00;KOM;855788;Component 855788;4776.35
6246522;LA;1902610;Product 1902610;88000.00;KOM;70021174;Component 70021174;33.17
6246522;LA;1902610;Product 1902610;88000.00;KOM;700540;Component 700540;7.48
6246522;LA;1902610;Product 1902610;88000.00;KOM;700541;Component 700541;0.08
6246522;LA;1902610;Product 1902610;88000.00;KOM;721109;Component 721109;89.76
6246522;LA;1902610;Product 1902610;88000.00;KOM;742516;Component 742516;89.76
6246522;LA;1902610;Product 1902610;88000.00;KOM;744964;Component 744964;71.80
6246522;LA;1902610;Product 1902610;88000.00;KOM;745341;Component 745341;49.36
6246522;LA;1902610;Product 1902610;88000.00;KOM;745395;Component 745395;17.95
6246522;LA;1902610;Product 1902610;88000.00;KOM;795638;Component 795638;134.64
6246522;LA;1902610;Product 1902610;88000.00;KOM;855788;Component 855788;8886.24
